,,,,,,,,,,,extracted automatically,,,,,,,
1023,2023,Explainable machine learning model reveals its decision-making process in identifying patients with paroxysmal atrial fibrillation at high risk for recurrence after catheter ablation,Yibo Ma; Dong Zhang; Jian Xu; Huani Pang; Miaoyang Hu; Jie Li; Shiqiang Zhou; Lanyan Guo; Yi Fu,"Randomized Controlled Trial||Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,23,TRUE,https://bmccardiovascdisord.biomedcentral.com/counter/pdf/10.1186/s12872-023-03087-0,36803424,10.1186/s12872-023-03087-0,atrial fibrillation recurrence after catheter ablation,Atrial fibrillation,Cardiology,SHAP,Random Forest,Tabular/EHR,Prognosis/outcome prediction,high
1025,2023,Explainable Machine Learning Model to Predict COVID-19 Severity Among Older Adults in the Province of Quebec,Samira Rahimi; Charlene H. Chu; Roland Grad; Mark Karanofsky; Mylène Arsenault; Charlene Ronquillo; Isabelle Vedel; Katherine S. McGilton; Machelle Wilchesky,Journal Article,"Mary Ann Liebert, Inc.",9,TRUE,https://www.annfammed.org/content/annalsfm/21/Supplement_1/3619.full.pdf,36972530,10.1370/afm.21.s1.3619,COVID-19 severity in older adults,COVID-19,Respiratory & Infectious Disease,LIME; SHAP; PIMP; Anchor; EBM explanations,Random Forest; Deep Forest; XGBoost; Explainable Boosting Machine,Text/NLP,Survival/mortality prediction,high
1027,2022,Explainable Machine Learning Model to Prediction EGFR Mutation in Lung Cancer,Ruiyuan Yang; Xingyu Xiong; Haoyu Wang; Weimin Li,Journal Article,Frontiers Media,20,TRUE,https://www.frontiersin.org/articles/10.3389/fonc.2022.924144/pdf,35814445,10.3389/fonc.2022.924144,lung adenocarcinoma EGFR mutation status,Lung cancer,Oncology,SHAP,Random Forest; XGBoost; Logistic Regression; LightGBM; SVM; MLP; Decision Tree,Tabular/EHR,Diagnosis/detection/classification,high
1028,2024,Explainable Machine Learning Model to Preoperatively Predict Postoperative Complications in Inpatients With Cancer Undergoing Major Operations,Matthew C. Hernandez; Chen Chen; Andrew H. Nguyen; Kevin Choong; Cameron Carlin; Rebecca A. Nelson; Lorenzo Rossi; Naini S. Seth; Kathy McNeese; Bertram Yuh; Zahra Eftekhari; Lily Lai,"Journal Article||Research Support, N.I.H., Extramural",Lippincott Williams & Wilkins,11,TRUE,https://ascopubs.org/doi/pdf/10.1200/CCI.23.00247,38648576,10.1200/CCI.23.00247,postoperative complications in cancer surgery,Cancer (general),Oncology,SHAP,ML model (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1032,2025,Explainable Machine Learning Models for Colorectal Cancer Prediction Using Clinical Laboratory Data,Rui Li; Xiaoyan Hao; Yanjun Diao; Liu Yang; Jiayun Liu,Journal Article,SAGE Publishing,8,TRUE,https://doi.org/10.1177/10732748251336417,40334702,10.1177/10732748251336417,colorectal cancer,Colorectal cancer,Oncology,SHAP,XGBoost; AdaBoost; Decision Tree; Logistic Regression; Random Forest,Tabular/EHR,Biomarker discovery,high
1034,2025,Explainable machine learning models for early Alzheimer's disease detection using multimodal clinical data,Afeez A Soladoye; Nicholas Aderinto; Damilola Osho; David B. Olawade,Journal Article,Elsevier BV,25,TRUE,https://doi.org/10.1016/j.ijmedinf.2025.106093,,10.1016/j.ijmedinf.2025.106093,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP; LIME,Random Forest; KNN; SVM; Logistic Regression; XGBoost; Stacking Ensemble; SMOTE; Ant Colony Optimisation,Multimodal,Risk prediction/screening,high
1037,2025,Explainable Machine Learning Models for Glioma Subtype Classification and Survival Prediction,Olga Vershinina; Victoria D. Turubanova; Mikhail Krivonosov; Arseniy Trukhanov; Mikhail Ivanchenko,Journal Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://www.mdpi.com/2072-6694/17/16/2614/pdf,40867242,10.3390/cancers17162614,glioma subtype classification and survival,Brain tumour,Oncology,SHAP,SVM; Cox Regression; ML models (unspecified),Omics,Biomarker discovery,high
1038,2025,Explainable machine learning models for identifying mild cognitive impairment in older patients with chronic pain,Xiaoang Zhang; Yu‐Ping Liao; Daying Zhang; Weichen Liu; Zhijian Wang; Yaxin Jin; Shushu Chen; Jianmei Wei,Journal Article,BioMed Central,8,TRUE,https://bmcnurs.biomedcentral.com/counter/pdf/10.1186/s12912-025-02723-8,39838390,10.1186/s12912-025-02723-8,mild cognitive impairment in older adults with chronic pain,Mild cognitive impairment,Neurology,SHAP,XGBoost; ML models (unspecified); SVM-RFE; LASSO; SMOTETomek,Tabular/EHR,Prognosis/outcome prediction,high
1039,2025,Explainable machine learning models for mortality prediction in patients with sepsis in tertiary care hospital ICU in low- to middle-income countries,S.G. Diwan; Vinay Gandhi; Esha Baidya Kayal; Puneet Khanna; Amit Mehndiratta,Journal Article,Springer Nature,11,TRUE,https://icm-experimental.springeropen.com/counter/pdf/10.1186/s40635-025-00765-5,40459817,10.1186/s40635-025-00765-5,sepsis ICU mortality,Sepsis,Respiratory & Infectious Disease,SHAP,Extra Trees; Random Forest; XGBoost; Gradient Boosting,Tabular/EHR,Treatment response prediction,high
1041,2022,"Explainable machine learning models for predicting 30-day readmission in pediatric pulmonary hypertension: A multicenter, retrospective study",Minjie Duan; Tingting Shu; Binyi Zhao; Tianyu Xiang; Jinkui Wang; Haodong Huang; Yang Zhang; Peilin Xiao; Bei Zhou; Zulong Xie; Xiaozhu Liu,Journal Article,Frontiers Media,12,TRUE,https://doi.org/10.3389/fcvm.2022.919224,35958416,10.3389/fcvm.2022.919224,pulmonary hypertension 30-day readmission in children,Hospital readmission,Critical Care & Surgery,SHAP,CatBoost; LASSO; ML algorithms (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1043,2025,Explainable Machine Learning Models for Prediction of Surgical Site Infection After Posterior Lumbar Fusion Surgery Based on Shapley Additive Explanations,PeiYang Wang; Lei Liu; Zhi‐Yang Xie; GuanRui Ren; Yili Hu; MeiJi Shen; Hui Wang; J. C. Wang; Yuntao Wang; Xiao-Tao Wu,Journal Article,Elsevier BV,2,TRUE,https://doi.org/10.1016/j.wneu.2025.123942,,10.1016/j.wneu.2025.123942,surgical site infection after lumbar fusion surgery,Surgical site infection,Critical Care & Surgery,SHAP,XGBoost; ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1044,2023,Explainable Machine Learning Models for Rapid Risk Stratification in the Emergency Department: A Multicenter Study,William P. T. M. van Doorn; Floris Helmich; Paul M. E. L. van Dam; Leo Jacobs; Patricia M. Stassen; Otto Bekers; Steven J.R. Meex,Article,Oxford University Press,10,TRUE,https://academic.oup.com/jalm/advance-article-pdf/doi/10.1093/jalm/jfad094/54876831/jfad094.pdf,,10.1093/jalm/jfad094,31-day mortality in emergency department patients,ICU mortality,Critical Care & Surgery,SHAP,ML models (unspecified),Tabular/EHR,Survival/mortality prediction,high
1045,2025,Explainable machine learning models predicting the risk of social isolation in older adults: a prospective cohort study,Ming Jiang; Xiaoran Li; Yong-lu,Journal Article,BioMed Central,9,TRUE,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-025-23108-1,40448115,10.1186/s12889-025-23108-1,social isolation in older adults,Ageing,Ageing & Geriatrics,SHAP,LightGBM; Logistic Regression; Decision Tree; SVM; Random Forest; Gradient Boosting; XGBoost,Tabular/EHR,Risk prediction/screening,medium
1049,2021,Explainable Machine Learning on AmsterdamUMCdb for ICU Discharge Decision Support: Uniting Intensivists and Data Scientists,Patrick Thoral; Mattia Fornasa; Daan P. de Bruin; Michele Tonutti; Hidde Hovenkamp; Ronald H. Driessen; Armand R. J. Girbes; Mark Hoogendoorn; Paul Elbers,Journal Article,Wolters Kluwer,33,TRUE,https://doi.org/10.1097/cce.0000000000000529,34589713,10.1097/CCE.0000000000000529,ICU readmission and post-discharge mortality,ICU readmission,Critical Care & Surgery,SHAP,Gradient Boosting; ML classifiers (unspecified),Tabular/EHR,Survival/mortality prediction,high
1051,2024,Explainable machine learning on baseline MRI predicts multiple sclerosis trajectory descriptors,Silvia Campanioni; César Veiga; José María Prieto-González; José A. González‐Nóvoa; Laura Busto; Carlos Martínez; Miguel Alberte-Woodward; J. García de Soto; Jessica Pouso-Diz; María de los Ángeles Fernández Ceballos; Roberto Carlos Agís‐Balboa,Journal Article,Public Library of Science,19,TRUE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0306999&type=printable,39012871,10.1371/journal.pone.0306999,multiple sclerosis disability progression,Multiple sclerosis,Neurology,SHAP,XGBoost,Medical imaging,Prognosis/outcome prediction,high
1052,2024,Explainable machine learning on clinical features to predict and differentiate Alzheimer's progression by sex: Toward a clinician-tailored web interface,Fabio Massimo D'Amore; Marco Moscatelli; Antonio Malvaso; Fabrizia D’Antonio; Marta Rodini; Massimiliano Panigutti; Pierandrea Mirino; Giovanni Augusto Carlesimo; Cecilia Guariglia; Daniele Caligiore,Journal Article,Elsevier BV,15,TRUE,https://hdl.handle.net/11573/1731516,,10.1016/j.jns.2024.123361,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP; LIME,ML model (unspecified),Tabular/EHR,Treatment response prediction,high
1056,2021,Explainable machine learning prediction of ICU mortality,Alvin Har Teck Chia; May Sze Khoo; Andy Zhengyi Lim; Kian Eng Ong; Yixuan Sun; Binh P. Nguyen; Matthew Chin Heng Chua; Junxiong Pang,Article,Elsevier BV,17,TRUE,https://www.sciencedirect.com/science/article/pii/S2352914821001593/pdf,,10.1016/j.imu.2021.100674,ICU mortality,ICU mortality,Critical Care & Surgery,"XAI (unspecified, CPH-based)",XGBoost; Logistic Regression; Decision Tree; Cox Proportional Hazards,Tabular/EHR,Survival/mortality prediction,high
1059,2024,Explainable Machine Learning Predictions for the Benefit From Chemotherapy in Advanced Non-Small Cell Lung Cancer Without Available Targeted Mutations,Zhao Shuang; Xiong Xingyu; Yue Cheng; Yu Mingjing,Journal Article,Wiley,2,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/crj.70044,39696772,10.1111/crj.70044,non-small cell lung cancer chemotherapy response,Lung cancer,Oncology,SHAP,XGBoost; ML models (unspecified),Tabular/EHR,Treatment response prediction,high
1065,2024,Explainable machine learning predicts survival of retroperitoneal liposarcoma: A study based on the SEER database and external validation in China,Maoyu Wang; Zhizhou Li; Shuxiong Zeng; Ziwei Wang; Yidie Ying; Wei He; Zhensheng Zhang; Huiqing Wang; Chuanliang Xu,Journal Article||Validation Study,Wiley,3,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cam4.7324,38847519,10.1002/cam4.7324,retroperitoneal liposarcoma overall survival,Sarcoma,Oncology,SurvSHAP; SurvLIME,Cox Proportional Hazards; Random Survival Forest; Ranger; Gradient Boosting; Decision Tree; Boosting Trees; LASSO,Medical imaging,Survival/mortality prediction,high
1067,2024,Explainable machine learning radiomics model for Primary Progressive Aphasia classification,Benedetta Tafuri; Roberto De Blasi; Salvatore Nigro; Giancarlo Logroscino,Journal Article,Frontiers Media,5,TRUE,https://www.frontiersin.org/articles/10.3389/fnsys.2024.1324437/pdf?isPublishedV2=False,38562661,10.3389/fnsys.2024.1324437,primary progressive aphasia,Neurodegenerative disease,Neurology,SHAP,tree-based algorithm (unspecified),Multimodal,Diagnosis/detection/classification,high
1069,2025,Explainable machine learning reveals ribosome biogenesis biomarkers in preeclampsia risk prediction,Jingjing Chen; Dan Zhang; Chengxiu Zhu; Lin Lin; Kejun Ye; Ying Hua; Mengjia Peng,Journal Article,Frontiers Media,2,TRUE,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1595222/pdf,40552285,10.3389/fimmu.2025.1595222,preeclampsia,Preeclampsia,"Maternal, Reproductive & Child Health",SHAP,Random Forest,Omics,Biomarker discovery,high
1071,2023,"Explainable Machine Learning Techniques To Predict Amiodarone-Induced Thyroid Dysfunction Risk: Multicenter, Retrospective Study With External Validation",Ya-Ting Lu; Horng-Jiun Chao; Yi-Chun Chiang; Hsiang‐Yin Chen,Multicenter Study||Journal Article,JMIR Publications,25,TRUE,https://www.jmir.org/2023/1/e43734/PDF,36749620,10.2196/43734,amiodarone-induced thyroid dysfunction,Drug-induced thyroid dysfunction,Diabetes & Endocrinology,feature importance,XGBoost; AdaBoost; KNN; Logistic Regression; ML models (unspecified); SMOTE,Tabular/EHR,Survival/mortality prediction,high
1073,2023,Explainable Machine Learning Techniques to Predict Muscle Injuries in Professional Soccer Players through Biomechanical Analysis,Mailyn Calderón-Díaz; Rony Silvestre Aguirre; Juan Pablo Vásconez; Roberto Yáñez; Matías Roby; Marvin Querales; Rodrigo Salas,Journal Article,Multidisciplinary Digital Publishing Institute,20,TRUE,https://www.mdpi.com/1424-8220/24/1/119/pdf?version=1703577839,38202981,10.3390/s24010119,hamstring strain injury in soccer players,Musculoskeletal injury,Musculoskeletal & Rheumatology,XGBoost feature importance,Decision Tree; Discriminant Analysis; Logistic Regression; Naive Bayes; SVM; KNN; Ensemble methods; ANN; XGBoost,Tabular/EHR,Biomarker discovery,medium
1075,2025,Explainable machine learning to compare the overall survival status between patients receiving mastectomy and breast conserving surgeries,Betelhem Bizuneh Asfaw; Eyachew Misganew Tegaw,Journal Article||Comparative Study,Nature Portfolio,9,TRUE,https://www.nature.com/articles/s41598-025-91064-2.pdf,40155719,10.1038/s41598-025-91064-2,breast cancer surgical outcome (mastectomy vs BCS),Breast cancer,Oncology,SHAP,Gradient Boosting; SMOTE,Tabular/EHR,Treatment response prediction,high
1076,2025,Explainable machine learning to identify risk factors for unplanned hospital readmissions in Nova Scotian hospitals,Mariano Maisonnave; Enayat Rajabi; Majid Taghavi; Peter T. Vanberkel,Journal Article,Elsevier BV,1,TRUE,https://doi.org/10.1016/j.compbiomed.2025.110024,,10.1016/j.compbiomed.2025.110024,unplanned hospital readmission,Hospital readmission,Critical Care & Surgery,XAI (unspecified),ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1079,2022,Explainable machine learning to predict long-term mortality in critically ill ventilated patients: a retrospective study in central Taiwan,Ming-Cheng Chan; Kai-Chih Pai; Shao-An Su; Min-Shian Wang; Chieh‐Liang Wu; Wen‐Cheng Chao,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,40,TRUE,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-022-01817-6,35337303,10.1186/s12911-022-01817-6,ICU mortality in mechanically ventilated patients,ICU mortality,Critical Care & Surgery,SHAP; Partial Dependence Plot; LIME; feature importance,XGBoost; Random Forest; Logistic Regression,Tabular/EHR,Survival/mortality prediction,high
1081,2021,Explainable Machine Learning to Predict Successful Weaning Among Patients Requiring Prolonged Mechanical Ventilation: A Retrospective Cohort Study in Central Taiwan,Ming-Yen Lin; Chi-Chun Li; Pin-Hsiu Lin; Jiun-Long Wang; Ming-Cheng Chan; Chieh‐Liang Wu; Wen‐Cheng Chao,Journal Article,Frontiers Media,44,TRUE,https://www.frontiersin.org/articles/10.3389/fmed.2021.663739/pdf,33968967,10.3389/fmed.2021.663739,prolonged mechanical ventilation weaning outcome,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; LIME; Partial Dependence Plot; feature importance,XGBoost; Random Forest; Logistic Regression,Tabular/EHR,Prognosis/outcome prediction,high
1083,2023,Explainable Machine Learning to Predict Successful Weaning of Mechanical Ventilation in Critically Ill Patients Requiring Hemodialysis,Ming-Yen Lin; Yuan‐Ming Chang; Chi-Chun Li; Wen‐Cheng Chao,Journal Article,Multidisciplinary Digital Publishing Institute,4,TRUE,https://www.mdpi.com/2227-9032/11/6/910/pdf?version=1679647769,36981566,10.3390/healthcare11060910,mechanical ventilation weaning in patients with respiratory and renal failure,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; Partial Dependence Plot; LIME; feature importance,XGBoost; GBM; AdaBoost; Random Forest,Tabular/EHR,Monitoring/management,high
1084,2023,Explainable Machine Learning to Predict Successful Weaning of Mechanical Ventilation in Critically Ill Patients Requiring Hemodialysis,Ming-Yen Lin; Yuan‐Ming Chang; Chi-Chun Li; Wen‐Cheng Chao,Article,Multidisciplinary Digital Publishing Institute,4,TRUE,https://www.mdpi.com/2227-9032/11/6/910/pdf?version=1679647769,36981566,10.3390/healthcare11060910,mechanical ventilation weaning in patients with respiratory and renal failure,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; Partial Dependence Plot; LIME; feature importance,XGBoost; GBM; AdaBoost; Random Forest,Tabular/EHR,Monitoring/management,high
1088,2023,Explainable machine learning using perioperative serial laboratory results to predict postoperative mortality in patients with peritonitis-induced sepsis,Seung Hee Lim; Min Jeong Kim; Won Hyuk Choi; Jin Cheol Cheong; Jong Wan Kim; Kyung Joo Lee; Jun Ho Park,Journal Article,Korean Surgical Society,2,TRUE,https://doi.org/10.4174/astr.2023.105.4.237,37908377,10.4174/astr.2023.105.4.237,postoperative sepsis mortality due to peritonitis,Sepsis,Respiratory & Infectious Disease,SHAP,CatBoost; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
